layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 224, 224, 3]",150528,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 3]",150528,0
zero_padding2d_1,ZeroPadding2D,"[None, 224, 224, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 230, 230, 3]",158700,0
conv1/conv,Conv2D,"[None, 230, 230, 3]",158700,float32,64,"[7, 7]",linear,False,"[None, 112, 112, 64]",802816,9408
conv1/bn,BatchNormalization,"[None, 112, 112, 64]",802816,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 64]",802816,256
conv1/relu,Activation,"[None, 112, 112, 64]",802816,float32,NaN,NaN,relu,NaN,"[None, 112, 112, 64]",802816,0
zero_padding2d_2,ZeroPadding2D,"[None, 112, 112, 64]",802816,float32,NaN,NaN,NaN,NaN,"[None, 114, 114, 64]",831744,0
pool1,MaxPooling2D,"[None, 114, 114, 64]",831744,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 64]",200704,0
conv2_block1_0_bn,BatchNormalization,"[None, 56, 56, 64]",200704,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 64]",200704,256
conv2_block1_0_relu,Activation,"[None, 56, 56, 64]",200704,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 64]",200704,0
conv2_block1_1_conv,Conv2D,"[None, 56, 56, 64]",200704,float32,128,"[1, 1]",linear,False,"[None, 56, 56, 128]",401408,8192
conv2_block1_1_bn,BatchNormalization,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,512
conv2_block1_1_relu,Activation,"[None, 56, 56, 128]",401408,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 128]",401408,0
conv2_block1_2_conv,Conv2D,"[None, 56, 56, 128]",401408,float32,32,"[3, 3]",linear,False,"[None, 56, 56, 32]",100352,36864
conv2_block1_concat,Concatenate,"[None, 56, 56, 32]",100352,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 96]",301056,0
conv2_block2_0_bn,BatchNormalization,"[None, 56, 56, 96]",301056,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 96]",301056,384
conv2_block2_0_relu,Activation,"[None, 56, 56, 96]",301056,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 96]",301056,0
conv2_block2_1_conv,Conv2D,"[None, 56, 56, 96]",301056,float32,128,"[1, 1]",linear,False,"[None, 56, 56, 128]",401408,12288
conv2_block2_1_bn,BatchNormalization,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,512
conv2_block2_1_relu,Activation,"[None, 56, 56, 128]",401408,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 128]",401408,0
conv2_block2_2_conv,Conv2D,"[None, 56, 56, 128]",401408,float32,32,"[3, 3]",linear,False,"[None, 56, 56, 32]",100352,36864
conv2_block2_concat,Concatenate,"[None, 56, 56, 32]",100352,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,0
conv2_block3_0_bn,BatchNormalization,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,512
conv2_block3_0_relu,Activation,"[None, 56, 56, 128]",401408,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 128]",401408,0
conv2_block3_1_conv,Conv2D,"[None, 56, 56, 128]",401408,float32,128,"[1, 1]",linear,False,"[None, 56, 56, 128]",401408,16384
conv2_block3_1_bn,BatchNormalization,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,512
conv2_block3_1_relu,Activation,"[None, 56, 56, 128]",401408,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 128]",401408,0
conv2_block3_2_conv,Conv2D,"[None, 56, 56, 128]",401408,float32,32,"[3, 3]",linear,False,"[None, 56, 56, 32]",100352,36864
conv2_block3_concat,Concatenate,"[None, 56, 56, 32]",100352,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 160]",501760,0
conv2_block4_0_bn,BatchNormalization,"[None, 56, 56, 160]",501760,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 160]",501760,640
conv2_block4_0_relu,Activation,"[None, 56, 56, 160]",501760,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 160]",501760,0
conv2_block4_1_conv,Conv2D,"[None, 56, 56, 160]",501760,float32,128,"[1, 1]",linear,False,"[None, 56, 56, 128]",401408,20480
conv2_block4_1_bn,BatchNormalization,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,512
conv2_block4_1_relu,Activation,"[None, 56, 56, 128]",401408,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 128]",401408,0
conv2_block4_2_conv,Conv2D,"[None, 56, 56, 128]",401408,float32,32,"[3, 3]",linear,False,"[None, 56, 56, 32]",100352,36864
conv2_block4_concat,Concatenate,"[None, 56, 56, 32]",100352,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 192]",602112,0
conv2_block5_0_bn,BatchNormalization,"[None, 56, 56, 192]",602112,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 192]",602112,768
conv2_block5_0_relu,Activation,"[None, 56, 56, 192]",602112,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 192]",602112,0
conv2_block5_1_conv,Conv2D,"[None, 56, 56, 192]",602112,float32,128,"[1, 1]",linear,False,"[None, 56, 56, 128]",401408,24576
conv2_block5_1_bn,BatchNormalization,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,512
conv2_block5_1_relu,Activation,"[None, 56, 56, 128]",401408,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 128]",401408,0
conv2_block5_2_conv,Conv2D,"[None, 56, 56, 128]",401408,float32,32,"[3, 3]",linear,False,"[None, 56, 56, 32]",100352,36864
conv2_block5_concat,Concatenate,"[None, 56, 56, 32]",100352,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 224]",702464,0
conv2_block6_0_bn,BatchNormalization,"[None, 56, 56, 224]",702464,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 224]",702464,896
conv2_block6_0_relu,Activation,"[None, 56, 56, 224]",702464,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 224]",702464,0
conv2_block6_1_conv,Conv2D,"[None, 56, 56, 224]",702464,float32,128,"[1, 1]",linear,False,"[None, 56, 56, 128]",401408,28672
conv2_block6_1_bn,BatchNormalization,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 128]",401408,512
conv2_block6_1_relu,Activation,"[None, 56, 56, 128]",401408,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 128]",401408,0
conv2_block6_2_conv,Conv2D,"[None, 56, 56, 128]",401408,float32,32,"[3, 3]",linear,False,"[None, 56, 56, 32]",100352,36864
conv2_block6_concat,Concatenate,"[None, 56, 56, 32]",100352,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 256]",802816,0
pool2_bn,BatchNormalization,"[None, 56, 56, 256]",802816,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 256]",802816,1024
pool2_relu,Activation,"[None, 56, 56, 256]",802816,float32,NaN,NaN,relu,NaN,"[None, 56, 56, 256]",802816,0
pool2_conv,Conv2D,"[None, 56, 56, 256]",802816,float32,128,"[1, 1]",linear,False,"[None, 56, 56, 128]",401408,32768
pool2_pool,AveragePooling2D,"[None, 56, 56, 128]",401408,float32,NaN,NaN,NaN,NaN,"[None, 28, 28, 128]",100352,0
conv3_block1_0_bn,BatchNormalization,"[None, 28, 28, 128]",100352,float32,NaN,NaN,NaN,NaN,"[None, 28, 28, 128]",100352,512
conv3_block1_0_relu,Activation,"[None, 28, 28, 128]",100352,float32,NaN,NaN,relu,NaN,"[None, 28, 28, 128]",100352,0
conv3_block1_1_conv,Conv2D,"[None, 28, 28, 128]",100352,float32,128,"[1, 1]",linear,False,"[None, 28, 28, 128]",100352,16384
conv3_block1_1_bn,BatchNormalization,"[None, 28, 28, 128]",100352,float32,NaN,NaN,NaN,NaN,"[None, 28, 28, 128]",100352,512
